,airy10::Probabilities::Post,airy10::Probabilities::3rdStair,airy10::Probabilities::2ndStair,airy10::Probabilities::1stStair,airy10::Probabilities::Pre,airy10::FrameCount,airy10::SpaceStep,airy10::TimeStep,airy10::PointCount,airy10::RegionLength::Post,airy10::RegionLength::3rdStair,airy10::RegionLength::2ndStair,airy10::RegionLength::1stStair,airy10::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
22,0.001787431657100732,0.004475288400121158,0.014697289872754066,0.054462584596837234,0.9245774054731868,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
23,0.0017832053839715273,0.004465793758486672,0.014666103433031288,0.05434700089926431,0.9247378965252462,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
24,0.001778825832836931,0.004455858164552551,0.014633476947844505,0.05422611101686161,0.9249057280379045,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
25,0.0017814570767943764,0.004463522168563753,0.014658647671478873,0.05431938968612841,0.9247769833970347,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
26,0.0017787928236951958,0.004458034744017348,0.01464061309370712,0.05425251105976031,0.92487004827882,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
27,0.00176988637223373,0.004436723967626144,0.014570630176768594,0.0539931949288033,0.9252295645545682,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
28,0.0017690147274481162,0.004435472052803736,0.014566525639202663,0.05397800994670862,0.9252509776338367,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
29,0.0017731852233395557,0.004446988061210688,0.014604323232499515,0.054117989257979296,0.9250575142249711,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
30,0.0017620585035359115,0.0044201073560409245,0.014516050572958464,0.05379090393170847,0.9255108796357563,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
31,0.0017561657577099298,0.004406269619160562,0.014470613516510545,0.05362255459523957,0.9257443965113794,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
