,cupy_profile_2_cg0::Probabilities::Post,cupy_profile_2_cg0::Probabilities::3rdStair,cupy_profile_2_cg0::Probabilities::2ndStair,cupy_profile_2_cg0::Probabilities::1stStair,cupy_profile_2_cg0::Probabilities::Pre,cupy_profile_2_cg0::FrameCount,cupy_profile_2_cg0::SpaceStep,cupy_profile_2_cg0::TimeStep,cupy_profile_2_cg0::PointCount,cupy_profile_2_cg0::RegionLength::Post,cupy_profile_2_cg0::RegionLength::3rdStair,cupy_profile_2_cg0::RegionLength::2ndStair,cupy_profile_2_cg0::RegionLength::1stStair,cupy_profile_2_cg0::RegionLength::Pre,cupy_profile_2_cg1::Probabilities::Post,cupy_profile_2_cg1::Probabilities::3rdStair,cupy_profile_2_cg1::Probabilities::2ndStair,cupy_profile_2_cg1::Probabilities::1stStair,cupy_profile_2_cg1::Probabilities::Pre,cupy_profile_2_cg1::FrameCount,cupy_profile_2_cg1::SpaceStep,cupy_profile_2_cg1::TimeStep,cupy_profile_2_cg1::PointCount,cupy_profile_2_cg1::RegionLength::Post,cupy_profile_2_cg1::RegionLength::3rdStair,cupy_profile_2_cg1::RegionLength::2ndStair,cupy_profile_2_cg1::RegionLength::1stStair,cupy_profile_2_cg1::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
20,4.806339894975841e-47,1.1207140263303014e-27,1.1254577392641325e-13,0.0001013527219235099,0.9998986472779641,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.846261654955655e-47,1.1250194914922062e-27,1.2986235429835192e-13,0.00010135272192205682,0.9998986472779481,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
21,6.131754840454271e-47,1.3268724939481459e-27,1.247401932214549e-13,0.00010699339096592405,0.9998930066089096,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.185010667115109e-47,1.3322028357079337e-27,1.4458375425040133e-13,0.00010699339096426389,0.9998930066088912,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
22,7.826353220790691e-47,1.57122600549956e-27,1.3830408948907782e-13,0.0001129326782038337,0.9998870673216578,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,7.897264170735063e-47,1.5778110299302292e-27,1.6096948821568544e-13,0.00011293267820192951,0.9998870673216368,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
23,9.993844589557621e-47,1.8608884308328675e-27,1.533991838168209e-13,0.00011918537365955007,0.9998808146261875,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.008810524821537e-46,1.869007610343758e-27,1.7920665961454143e-13,0.00011918537365736489,0.9998808146261636,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
24,1.2767281034196819e-46,2.20430345176526e-27,1.7021089493975679e-13,0.00012576693863427718,0.9998742330611955,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.28923903831614e-46,2.214296389926297e-27,1.99503231843237e-13,0.0001257669386317798,0.9998742330611688,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
25,1.6317408259145467e-46,2.6114936378417125e-27,1.889404519529916e-13,0.00013269353001210132,0.9998673064697989,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.6483234402838985e-46,2.6237726970712035e-27,2.220903241974473e-13,0.00013269353000926195,0.9998673064697686,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
26,2.086340504791569e-46,3.0943562272046694e-27,2.0980142744684172e-13,0.00013998202694729254,0.9998600179728427,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.1082925075662937e-46,3.1094217594429625e-27,2.4722475919860884e-13,0.00013998202694407287,0.9998600179728084,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
27,2.6686696951327378e-46,3.6670143801233255e-27,2.330261405279838e-13,0.00014765006002279865,0.9998523499397438,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.6976965861741853e-46,3.685473089055293e-27,2.7519188895178e-13,0.0001476500600191456,0.9998523499397054,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
28,3.4148726512254783e-46,4.3462341724622124e-27,2.5887758590040246e-13,0.00015571603764437863,0.9998442839620968,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.4532145622553065e-46,4.368821241116273e-27,3.063087207454789e-13,0.00015571603764022733,0.9998442839620535,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
29,4.371381849854691e-46,5.151919809304137e-27,2.8765668428342793e-13,0.00016419917723800787,0.9998358008224746,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.421979529979664e-46,5.179525554360677e-27,3.409273874274991e-13,0.00016419917723328997,0.999835800822426,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
