,tunnelSteppingTest20::Probabilities::PostRegion,tunnelSteppingTest20::Probabilities::IntraRegion,tunnelSteppingTest20::Probabilities::PreRegion,tunnelSteppingTest20::FrameCount,tunnelSteppingTest20::SpaceStep,tunnelSteppingTest20::TimeStep,tunnelSteppingTest20::PointCount,tunnelSteppingTest20::RegionLength::PostRegion,tunnelSteppingTest20::RegionLength::IntraRegion,tunnelSteppingTest20::RegionLength::PreRegion,tunnelSteppingTest21::Probabilities::PostRegion,tunnelSteppingTest21::Probabilities::IntraRegion,tunnelSteppingTest21::Probabilities::PreRegion,tunnelSteppingTest21::FrameCount,tunnelSteppingTest21::SpaceStep,tunnelSteppingTest21::TimeStep,tunnelSteppingTest21::PointCount,tunnelSteppingTest21::RegionLength::PostRegion,tunnelSteppingTest21::RegionLength::IntraRegion,tunnelSteppingTest21::RegionLength::PreRegion,tunnelSteppingTest22::Probabilities::PostRegion,tunnelSteppingTest22::Probabilities::IntraRegion,tunnelSteppingTest22::Probabilities::PreRegion,tunnelSteppingTest22::FrameCount,tunnelSteppingTest22::SpaceStep,tunnelSteppingTest22::TimeStep,tunnelSteppingTest22::PointCount,tunnelSteppingTest22::RegionLength::PostRegion,tunnelSteppingTest22::RegionLength::IntraRegion,tunnelSteppingTest22::RegionLength::PreRegion
60,4.5367978901527364e-05,0.6168844056745649,0.3830702263465334,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,4.484425217121422e-05,0.6104432012785708,0.38951195446925796,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,4.926221677493188e-05,0.5292820760621381,0.47066866172108685,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
61,5.9612595572327225e-05,0.6382659660888149,0.3616744213156129,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,5.89907299910676e-05,0.6317152407858462,0.3682257684841626,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,6.356621901492038e-05,0.5400126252991475,0.45992380848183745,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
62,7.789856712283481e-05,0.6589306446541637,0.3409914567787134,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,7.718221015950068e-05,0.6523342926293655,0.3475885251604751,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,8.155365383005138e-05,0.5494098205979228,0.4505086257482471,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
63,0.00010124296410721536,0.6788360903083762,0.32106266672751654,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00010044747823488852,0.6722580847836161,0.32764146773814906,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0001041110147469071,0.5578167384332787,0.44207915055197455,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
64,0.0001308833040122197,0.6979487963893273,0.30192032030666055,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00013004051964712483,0.691449309348576,0.3084206501317769,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0001322854596680948,0.5653548859623418,0.4345128285779903,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
65,0.00016831654623821962,0.7162438344195893,0.28358784903417233,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00016748011226237498,0.7098745489917084,0.289957970896029,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00016730483501056892,0.5720299963474026,0.4278026988175867,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
66,0.00021534300170841886,0.733704299314333,0.26608035768395866,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00021459393752879807,0.7275029732684674,0.27228243279400377,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0002103782781114946,0.5771938758843518,0.4225957458375368,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
67,0.0002741153724076535,0.7503206103721458,0.24940527425544642,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0002735672136203964,0.7443050858509103,0.25542134693546936,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0002628787138660058,0.5805292887322197,0.4192078325539143,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
68,0.0003471931204988917,0.7660898813385616,0.23356292554093974,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0003469959276606409,0.7602519684653324,0.2394010356070071,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.00032711737130938583,0.5832980710114761,0.41637481161721457,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
69,0.0004376021943952086,0.7810151973209224,0.2185472004846823,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0004379448465078406,0.7753151699838581,0.22424688516963423,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0004055159437799098,0.5857602111382976,0.41383427291792263,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
