,cupy_profile_10::Probabilities::Post,cupy_profile_10::Probabilities::3rdStair,cupy_profile_10::Probabilities::2ndStair,cupy_profile_10::Probabilities::1stStair,cupy_profile_10::Probabilities::Pre,cupy_profile_10::FrameCount,cupy_profile_10::SpaceStep,cupy_profile_10::TimeStep,cupy_profile_10::PointCount,cupy_profile_10::RegionLength::Post,cupy_profile_10::RegionLength::3rdStair,cupy_profile_10::RegionLength::2ndStair,cupy_profile_10::RegionLength::1stStair,cupy_profile_10::RegionLength::Pre,cupy_profile_11::Probabilities::Post,cupy_profile_11::Probabilities::3rdStair,cupy_profile_11::Probabilities::2ndStair,cupy_profile_11::Probabilities::1stStair,cupy_profile_11::Probabilities::Pre,cupy_profile_11::FrameCount,cupy_profile_11::SpaceStep,cupy_profile_11::TimeStep,cupy_profile_11::PointCount,cupy_profile_11::RegionLength::Post,cupy_profile_11::RegionLength::3rdStair,cupy_profile_11::RegionLength::2ndStair,cupy_profile_11::RegionLength::1stStair,cupy_profile_11::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
10,4.260409728718772e-48,2.0938358069311206e-28,4.133746997813186e-14,5.855103633729739e-05,0.999941448963621,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.2388635782968594e-48,2.090798386929715e-28,4.434804302763161e-14,5.8551036337049786e-05,0.9999414489636183,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
11,5.399856079585492e-48,2.4741311593644683e-28,4.560564067957528e-14,6.189021803579568e-05,0.9999381097819188,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.369980847543391e-48,2.470226281171226e-28,4.938332094298363e-14,6.18902180354794e-05,0.9999381097819152,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
12,6.848986539965273e-48,2.9242697628863956e-28,5.0319915469139976e-14,6.541171549043125e-05,0.9999345882844591,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.807881763965566e-48,2.919290890508219e-28,5.4990693366968945e-14,6.541171549002615e-05,0.9999345882844549,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
13,8.693146296464662e-48,3.45719228830274e-28,5.5545253334475595e-14,6.912491977434962e-05,0.9999308750801701,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.636953082345612e-48,3.4508878160640594e-28,6.123500038289468e-14,6.912491977384525e-05,0.9999308750801649,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
14,1.1041484864995303e-47,4.0882535523313295e-28,6.135301147455e-14,7.30396713452797e-05,0.9999269603285933,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0965078660262665e-47,4.080317483250115e-28,6.818839318654325e-14,7.303967134467556e-05,0.9999269603285872,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
15,1.4033663935911596e-47,4.835674943366501e-28,6.781304406597167e-14,7.716627552847798e-05,0.9999228337244038,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.393025071558492e-47,4.8257357140768015e-28,7.59311481923895e-14,7.716627552777484e-05,0.9999228337243967,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
16,1.7848472721863352e-47,5.721082141065836e-28,7.499327058302887e-14,8.15155229041786e-05,0.9999184844770208,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.7709058621836964e-47,5.708689236410598e-28,8.455257478528891e-14,8.151552290336843e-05,0.9999184844770119,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
17,2.2714897037988227e-47,6.7701440928862805e-28,8.296698020426248e-14,8.609871121717597e-05,0.9999139012887001,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.2527592267756605e-47,6.754752026873172e-28,9.415202429030251e-14,8.609871121623838e-05,0.9999139012886896,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
18,2.89263438213303e-47,8.013331712027495e-28,9.18223198758131e-14,9.092766126171195e-05,0.9999090723386463,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.86754496980936e-47,7.994280874750721e-28,1.048400027112943e-13,9.092766126061933e-05,0.9999090723386345,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
19,3.6858930803387873e-47,9.486819956351512e-28,1.0166713706188868e-13,9.601474162930805e-05,0.9999039852582692,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.652374306936089e-47,9.463313731856086e-28,1.1673941451031706e-13,9.601474162803452e-05,0.9999039852582555,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
