,top_down_stair_2d_10::Probabilities::Post,top_down_stair_2d_10::Probabilities::3rdStair,top_down_stair_2d_10::Probabilities::2ndStair,top_down_stair_2d_10::Probabilities::1stStair,top_down_stair_2d_10::Probabilities::Pre,top_down_stair_2d_10::FrameCount,top_down_stair_2d_10::SpaceStep,top_down_stair_2d_10::TimeStep,top_down_stair_2d_10::PointCount,top_down_stair_2d_10::RegionLength::Post,top_down_stair_2d_10::RegionLength::3rdStair,top_down_stair_2d_10::RegionLength::2ndStair,top_down_stair_2d_10::RegionLength::1stStair,top_down_stair_2d_10::RegionLength::Pre,top_down_stair_2d_11::Probabilities::Post,top_down_stair_2d_11::Probabilities::3rdStair,top_down_stair_2d_11::Probabilities::2ndStair,top_down_stair_2d_11::Probabilities::1stStair,top_down_stair_2d_11::Probabilities::Pre,top_down_stair_2d_11::FrameCount,top_down_stair_2d_11::SpaceStep,top_down_stair_2d_11::TimeStep,top_down_stair_2d_11::PointCount,top_down_stair_2d_11::RegionLength::Post,top_down_stair_2d_11::RegionLength::3rdStair,top_down_stair_2d_11::RegionLength::2ndStair,top_down_stair_2d_11::RegionLength::1stStair,top_down_stair_2d_11::RegionLength::Pre,top_down_stair_2d_12::Probabilities::Post,top_down_stair_2d_12::Probabilities::3rdStair,top_down_stair_2d_12::Probabilities::2ndStair,top_down_stair_2d_12::Probabilities::1stStair,top_down_stair_2d_12::Probabilities::Pre,top_down_stair_2d_12::FrameCount,top_down_stair_2d_12::SpaceStep,top_down_stair_2d_12::TimeStep,top_down_stair_2d_12::PointCount,top_down_stair_2d_12::RegionLength::Post,top_down_stair_2d_12::RegionLength::3rdStair,top_down_stair_2d_12::RegionLength::2ndStair,top_down_stair_2d_12::RegionLength::1stStair,top_down_stair_2d_12::RegionLength::Pre
350,0.2594317256216868,0.15866268312586992,0.17594598289862726,0.14598427061470176,0.25997533773911435,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26226033465196086,0.14953598862448683,0.17640735344710606,0.14953598862448642,0.26226033465195986,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2545771539990177,0.15673842525577544,0.17736884149041518,0.1567384252557751,0.25457715399901665,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
351,0.2599542138328319,0.15849370440520402,0.1756154314862193,0.1456571622113686,0.26027948806437623,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26274124777097,0.14923302564882215,0.17605145316041707,0.14923302564882177,0.262741247770969,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25490785855484743,0.1565561589663839,0.17707196495753888,0.15655615896638356,0.2549078585548464,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
352,0.2604373594776237,0.15834044377023437,0.17530202680857873,0.1453529187229743,0.260567251220589,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2631873825720846,0.14895097975800287,0.17572327533982646,0.1489509797580025,0.26318738257208363,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2552398989336508,0.15637680561134001,0.17676659091001964,0.1563768056113397,0.2552398989336497,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
353,0.260852760404125,0.1582137770263644,0.1749928967660679,0.14505435574744452,0.2608862100559981,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26364006657063965,0.14866724407204202,0.17538537871463805,0.14866724407204165,0.26364006657063865,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2555769061321738,0.15619668295389233,0.17645282182786906,0.15619668295389197,0.25557690613217277,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
354,0.2612190398939136,0.15810238238780186,0.17466472733496988,0.14473521691703511,0.2612786334662795,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2641555173523498,0.14834237897020414,0.17500420735489358,0.14834237897020375,0.2641555173523488,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.25591289521493327,0.15601895156678483,0.17613630643656522,0.1560189515667845,0.2559128952149322,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
355,0.26158653945899163,0.15796708184661087,0.17428969547808995,0.14437678648153005,0.2617798967347775,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2647674839654393,0.1479485678389707,0.1745678963911813,0.1479485678389703,0.26476748396543826,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2562384686851372,0.15584834082054308,0.17582638098864076,0.1558483408205427,0.25623846868513617,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
356,0.2620156908029932,0.15776996847582092,0.17386346170576836,0.14398639738434713,0.26236448163107046,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26546739299992145,0.147484956269311,0.17409530146153637,0.14748495626931063,0.26546739299992045,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2565579610872678,0.15568022175671933,0.17552363431202725,0.15568022175671897,0.25655796108726675,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
357,0.2625298735944616,0.15751499443717984,0.17341464940430618,0.14359051218601374,0.26294997037803863,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2661661195927156,0.1470221368481712,0.17362348711822795,0.14702213684817078,0.2661661195927146,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2568840276242096,0.15550704887947311,0.17521784699263626,0.15550704887947275,0.2568840276242085,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
358,0.26313797599359967,0.15722007895181622,0.17295904368448062,0.1432003452143181,0.2634825561557854,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.26681473855086246,0.14659100223024618,0.17318851843778418,0.14659100223024576,0.26681473855086146,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2572122189943984,0.15533512181253864,0.17490531838612736,0.15533512181253828,0.25721221899439733,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
359,0.2638445055336559,0.15689297097514265,0.1725036769241489,0.14283043679223764,0.2639284097748148,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2673388919438717,0.146239780167013,0.17284265577823196,0.14623978016701258,0.26733889194387067,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.2575314336251811,0.15517326729184427,0.17459059816595057,0.1551732672918439,0.25753143362518005,650,0.02,0.0001,60,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
