,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
472,0.3289868765279064,0.14698366316854103,0.13409644203044305,0.1329697634371978,0.2569632548359117,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
473,0.3278713114068042,0.14770849376646214,0.1327949273853426,0.13397123633808145,0.2576540311033094,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
474,0.32666831723427925,0.14836182278997145,0.1315022961752639,0.13497412167548908,0.2584934421249962,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
475,0.3253849432399979,0.14893573399986873,0.13023557325833174,0.13596649724440288,0.2594772522573988,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
476,0.32404394733830116,0.1494324896170471,0.12901584925691226,0.13694130761491655,0.260566406172823,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
477,0.32267761077422713,0.1498624529520285,0.12786531171979168,0.13789788355950222,0.2616967409944504,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
478,0.3213191299323566,0.15024026494733328,0.12680348337553682,0.1388433070487106,0.2627938146960626,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
479,0.31999818786223927,0.1505822780780244,0.12584515705422622,0.13979188135553727,0.2637824956499729,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
480,0.31874146400895526,0.15090575606161788,0.1250001715741958,0.14076309597965334,0.26458951237557765,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
481,0.3175712707621671,0.15122687881775349,0.12427239005097974,0.14177755435863973,0.26515190601045985,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
482,0.3164990582122275,0.15155620406696413,0.12365688531108791,0.14285202074900463,0.26543583166071594,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
483,0.31551934270731335,0.15189443043381445,0.12313789383104168,0.1439967182512487,0.2654516147765818,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
484,0.3146093408013739,0.15223126580922947,0.12268992233620378,0.14521527449144908,0.2652541965617438,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
485,0.31373605809750377,0.15254848741811436,0.12228276785464073,0.1465056381115697,0.26492704851817145,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
