,lightspeed00::Probabilities::Post,lightspeed00::Probabilities::3rdStair,lightspeed00::Probabilities::2ndStair,lightspeed00::Probabilities::1stStair,lightspeed00::Probabilities::Pre,lightspeed00::FrameCount,lightspeed00::SpaceStep,lightspeed00::TimeStep,lightspeed00::PointCount,lightspeed00::RegionLength::Post,lightspeed00::RegionLength::3rdStair,lightspeed00::RegionLength::2ndStair,lightspeed00::RegionLength::1stStair,lightspeed00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
76,6.369050728197711e-41,1.6423824205649985e-23,4.746666945829477e-11,0.0016642230503833972,0.9983357769021498,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
77,8.223834451740471e-41,1.947805573100825e-23,5.2555125215211135e-11,0.0017411676102283104,0.9982588323372164,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
78,1.0617965274885368e-40,2.3097472999566265e-23,5.8179378174830376e-11,0.0018213425877493395,0.9981786573540715,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
79,1.3707936700238541e-40,2.7386030825391284e-23,6.43946730542939e-11,0.0019048663909581993,0.9980951335446472,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
80,1.7695520575693671e-40,3.246666776971266e-23,7.12618139875227e-11,0.0019918609428159124,0.9980081389859221,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
81,2.284082185895807e-40,3.8484743876650544e-23,7.88477075917681e-11,0.0020824517233760573,0.9979175481977762,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
82,2.947908208209554e-40,4.5612095301632754e-23,8.722595792686623e-11,0.0021767678286304056,0.9978232320841437,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
83,3.804230332042708e-40,5.405181583860294e-23,9.647751880877696e-11,0.002274942058877789,0.9977250578446447,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
84,4.908706799571598e-40,6.404389279117287e-23,1.0669140593998446e-10,0.0023771109665571576,0.9976228889267512,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
85,6.333032120890333e-40,7.587184866823306e-23,1.1796547534790065e-10,0.002483414897328419,0.997516584984706,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
86,8.169538466760773e-40,8.987056809244951e-23,1.3040727689465701e-10,0.0025939980820912398,0.9974060017875013,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
87,1.0537111138570655e-39,1.0643551715499248e-22,1.4413498647577365e-10,0.00270900870634058,0.9972909911495244,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
88,1.3588791260631967e-39,1.2603359883265935e-22,1.5927842244344087e-10,0.0028285989355870396,0.9971714009051346,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
89,1.7521544656344363e-39,1.4921593481508573e-22,1.759801581994188e-10,0.0029529249838726505,0.9970470748401472,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
90,2.2588810724078747e-39,1.7663291102938046e-22,1.943967383354897e-10,0.003082147194766764,0.9969178526108365,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
91,2.9116617519480895e-39,2.0905187898855349e-22,2.1470000304934864e-10,0.003216430063943075,0.9967835697213568,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
92,3.752427114822894e-39,2.473779800594444e-22,2.3707853484249505e-10,0.003355942282947168,0.9966440574799743,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
93,4.835091091558533e-39,2.9267864030937626e-22,2.6173924098723375e-10,0.0035008568352861017,0.996499142902975,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
94,6.228958224473193e-39,3.462123674125677e-22,2.8890907638473204e-10,0.0036513510373088324,0.9963486486737821,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
95,8.02309424268102e-39,4.0946259595940287e-22,3.18836919852094e-10,0.003807606548293136,0.9961923931328703,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
96,1.0331930744185374e-38,4.841774652010766e-22,3.5179562503784126e-10,0.00396980944793991,0.9960301902002647,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
97,1.3302450146459157e-38,5.724165484637732e-22,3.880842547755601e-10,0.004138150294724743,0.995861849317191,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
98,1.7123393425100422e-38,6.7660572522864225e-22,4.280305095446841e-10,0.00431282411777654,0.9956871754541927,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
99,2.2037056834924702e-38,7.996016132040723e-22,4.71993377972208e-10,0.004494030469027357,0.9955059690589797,650,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
