,diagonal_cases_00::Probabilities::Post,diagonal_cases_00::Probabilities::3rdStair,diagonal_cases_00::Probabilities::2ndStair,diagonal_cases_00::Probabilities::1stStair,diagonal_cases_00::Probabilities::Pre,diagonal_cases_00::FrameCount,diagonal_cases_00::SpaceStep,diagonal_cases_00::TimeStep,diagonal_cases_00::PointCount,diagonal_cases_00::RegionLength::Post,diagonal_cases_00::RegionLength::3rdStair,diagonal_cases_00::RegionLength::2ndStair,diagonal_cases_00::RegionLength::1stStair,diagonal_cases_00::RegionLength::Pre,diagonal_cases_01::Probabilities::Post,diagonal_cases_01::Probabilities::3rdStair,diagonal_cases_01::Probabilities::2ndStair,diagonal_cases_01::Probabilities::1stStair,diagonal_cases_01::Probabilities::Pre,diagonal_cases_01::FrameCount,diagonal_cases_01::SpaceStep,diagonal_cases_01::TimeStep,diagonal_cases_01::PointCount,diagonal_cases_01::RegionLength::Post,diagonal_cases_01::RegionLength::3rdStair,diagonal_cases_01::RegionLength::2ndStair,diagonal_cases_01::RegionLength::1stStair,diagonal_cases_01::RegionLength::Pre,diagonal_cases_02::Probabilities::Post,diagonal_cases_02::Probabilities::3rdStair,diagonal_cases_02::Probabilities::2ndStair,diagonal_cases_02::Probabilities::1stStair,diagonal_cases_02::Probabilities::Pre,diagonal_cases_02::FrameCount,diagonal_cases_02::SpaceStep,diagonal_cases_02::TimeStep,diagonal_cases_02::PointCount,diagonal_cases_02::RegionLength::Post,diagonal_cases_02::RegionLength::3rdStair,diagonal_cases_02::RegionLength::2ndStair,diagonal_cases_02::RegionLength::1stStair,diagonal_cases_02::RegionLength::Pre
572,0.3159923820651392,0.13010903719199002,0.14877220970441687,0.1340689633226933,0.2710574077157607,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3046142897229133,0.13535538441154596,0.16023832867483379,0.12748905975555094,0.272302937435156,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3056794786016079,0.1301303376532088,0.14896730944064643,0.146846179092646,0.26837669521189084,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
573,0.31770330574633265,0.13205107722814494,0.14537049334694532,0.1340817321180966,0.2707933915604806,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3066884793271967,0.13820811691021748,0.1560529005800859,0.12681008060274868,0.2722404225797511,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.30697299471120226,0.13069769129291386,0.1476626468796932,0.14723482364447452,0.26743184347171606,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
574,0.3189086885972515,0.1335054940658613,0.14225917237311772,0.13362311912487612,0.27170352583889334,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.30838282125675615,0.14040632539013823,0.15197512549826714,0.12570882634094704,0.2735269015138916,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.30815907633931977,0.13111659142860013,0.14644048784238126,0.14727129157623012,0.26701255281346875,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
575,0.3199495819543308,0.13479192523231767,0.1393472649997415,0.13284070521498922,0.2730705225986207,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.30988356563509956,0.14222431703465363,0.14792799873240506,0.12429600981987497,0.2756681087779668,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.30967865513200354,0.13156784331371393,0.14513443017758398,0.14721317806953244,0.266405893307166,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
576,0.3211950357118598,0.1360834978778903,0.13653722069545104,0.13201631996462715,0.27416792575017146,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3113759524703438,0.14386863891154655,0.14383253635339102,0.12315321989320925,0.2777696523715093,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.31167371079209,0.13205767433138615,0.14376857277990698,0.1472785431070528,0.26522149898956415,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
577,0.32289144089670857,0.13737104091138716,0.13377858934216472,0.13137743671735763,0.27458149213238203,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.31308835772536336,0.14543176335477556,0.13971757146381508,0.1225541871670827,0.2792081202889633,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.31408439065494664,0.13256357236229813,0.14249626598007048,0.14751788836382737,0.26333788263885743,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
578,0.3251524038233575,0.1385519867592442,0.13107820037907117,0.1309876160574342,0.27422979298089273,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3152709696684083,0.1469232176331388,0.13575503256682536,0.12219546908739473,0.2798553110442329,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.31689363017170147,0.13307107895837078,0.14146165668795396,0.14781840650877778,0.26075522767319587,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
579,0.3279818832639804,0.1395062111502456,0.1284742773728451,0.13075739322289517,0.2732802349900337,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.31796857176980464,0.1482213465325864,0.13211751431841723,0.12190287912303603,0.2797896882561558,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3200752024733645,0.1335155469213746,0.1407365019250745,0.14802739587572525,0.25764535280446105,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
580,0.33119450407047163,0.1401182600858566,0.12605012332018478,0.130527699695916,0.272109412827571,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3210716219603577,0.1491581387911889,0.12893714492266528,0.12153175590251748,0.27930133842327076,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3234323096380145,0.13378447521874323,0.14031853108314843,0.14805720718083715,0.2544074768792568,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
581,0.33434503458092946,0.14028779922486515,0.12396598966061674,0.13015461120468802,0.27124656532890085,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.32429335426848105,0.14957356378736725,0.12623374643532606,0.12099562505123884,0.2789037104575869,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.32656565172978125,0.13384711534555396,0.14015362966067216,0.14789917301596223,0.2515344302480304,650,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
