,lightspeed00::Probabilities::Post,lightspeed00::Probabilities::3rdStair,lightspeed00::Probabilities::2ndStair,lightspeed00::Probabilities::1stStair,lightspeed00::Probabilities::Pre,lightspeed00::FrameCount,lightspeed00::SpaceStep,lightspeed00::TimeStep,lightspeed00::PointCount,lightspeed00::RegionLength::Post,lightspeed00::RegionLength::3rdStair,lightspeed00::RegionLength::2ndStair,lightspeed00::RegionLength::1stStair,lightspeed00::RegionLength::Pre
43,4.608322018977272e-06,0.0010962615562640841,0.09963508768847798,0.39833315846084844,0.5009308839723906,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
44,7.918413656692319e-06,0.00163071548167092,0.11982339408943429,0.4010972093388234,0.47744076267641467,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
45,1.3475711761234975e-05,0.002402974191718832,0.14246768399362011,0.4004794558877868,0.4546364102151129,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
46,2.2378357910983042e-05,0.003455551819825807,0.1649007867747845,0.3898128971179305,0.4418083859295479,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
47,3.668664977114419e-05,0.0049052949628278185,0.18785086989010905,0.3733116798729739,0.433895468624318,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
48,5.9823381755585056e-05,0.006924828341243583,0.21205465087147315,0.35961294608364625,0.42134775132188146,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
49,9.479110614244226e-05,0.009495796845687672,0.23154152252341825,0.3463520788348149,0.4125158106899369,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
50,0.00014924443663790943,0.012931774954949881,0.24986289315417462,0.34146619391017263,0.395589893544065,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
51,0.00023324226692849592,0.017468373699418078,0.26602526890730555,0.3433430361650523,0.3729300789612956,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
52,0.00035496794312322376,0.02295723077217939,0.274203564358407,0.34300134821477324,0.3594828887115174,200,0.02,0.0001,50,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3
