,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
27,76883.932032229,76883.932399872,76883.932712411,76883.932714785,76883.932746284,76883.933939168,76883.933940565,76883.94067289,76883.940683506,76883.940684973,76883.940779677,76883.94078729
28,76883.941324018,76883.94196446,76883.942286707,76883.942289012,76883.942320859,76883.943516468,76883.943518423,76883.950323662,76883.950332672,76883.950334558,76883.950410545,76883.950417599
29,76883.950962428,76883.951505582,76883.951832438,76883.951834813,76883.951866241,76883.953111227,76883.953112624,76883.959939724,76883.959946428,76883.959947895,76883.960028911,76883.960035615
30,76883.960462623,76883.960999561,76883.961325439,76883.961327395,76883.961359312,76883.962500584,76883.962502051,76883.969107545,76883.969113761,76883.969114739,76883.969171938,76883.969177596
31,76883.96962828,76883.969983561,76883.970298893,76883.970301198,76883.970333185,76883.971507422,76883.971508889,76883.978204198,76883.978211252,76883.978212719,76883.978301417,76883.978309589
32,76883.978941859,76883.979356436,76883.979675609,76883.979677984,76883.979709901,76883.980913681,76883.980924087,76883.987804895,76883.987812088,76883.987813555,76883.987873618,76883.987879904
33,76883.98846587,76883.988864662,76883.989194452,76883.989196826,76883.989228324,76883.990394739,76883.990396136,76883.996981237,76883.996987383,76883.996989268,76883.997045141,76883.997050309
34,76883.997491286,76883.997828688,76883.998168743,76883.99817021,76883.998201639,76883.999357438,76883.999359323,76884.005980601,76884.005986328,76884.005988214,76884.006042131,76884.006047369
35,76884.006305711,76884.006780421,76884.007106229,76884.007108185,76884.007138635,76884.008278511,76884.008280396,76884.015005528,76884.015012303,76884.0150137,76884.015072366,76884.01507963
36,76884.015556155,76884.016167543,76884.016492444,76884.016494888,76884.016528761,76884.017705442,76884.017707328,76884.02441039,76884.024417025,76884.024418911,76884.024492034,76884.024500066
37,76884.025046781,76884.025608094,76884.025971267,76884.025973572,76884.026008842,76884.027195929,76884.027197326,76884.033818395,76884.033824541,76884.033826007,76884.033884045,76884.033889772
38,76884.034241073,76884.034737084,76884.035061495,76884.035063381,76884.035094809,76884.036227142,76884.036228608,76884.042924407,76884.042930064,76884.04293195,76884.043004375,76884.043009124
39,76884.043298964,76884.04379749,76884.044127628,76884.044129514,76884.044160523,76884.045311294,76884.045312691,76884.051986908,76884.051996476,76884.051997873,76884.052053606,76884.052059403
40,76884.052518398,76884.052889603,76884.053227215,76884.053229589,76884.05326011,76884.054467033,76884.054468918,76884.061154031,76884.061160876,76884.061168488,76884.061237072,76884.061244685
41,76884.061690759,76884.062246345,76884.062574178,76884.062576064,76884.062607562,76884.06375952,76884.063760917,76884.070670569,76884.070677693,76884.07067867,76884.070743972,76884.070750537
42,76884.071420871,76884.071823784,76884.072153783,76884.072155668,76884.072187376,76884.073399258,76884.073401143,76884.080164408,76884.080175932,76884.080177329,76884.080251221,76884.080258344
43,76884.080812812,76884.081355058,76884.081663895,76884.081665781,76884.081698396,76884.082895681,76884.082897567,76884.089509765,76884.08951647,76884.089517937,76884.089588825,76884.089594971
44,76884.090056341,76884.090571558,76884.09088277,76884.090884726,76884.090916433,76884.092113858,76884.092115255,76884.099053401,76884.099060874,76884.099061782,76884.099131833,76884.099137979
45,76884.099586428,76884.100263188,76884.100609459,76884.100611904,76884.100643402,76884.101804439,76884.101805906,76884.108405184,76884.10841126,76884.108412727,76884.108470974,76884.108477051
46,76884.108970268,76884.109513212,76884.109812411,76884.109813389,76884.109843909,76884.11099461,76884.110996496,76884.117692923,76884.117700605,76884.117702072,76884.117767932,76884.117774078
47,76884.118386095,76884.118942169,76884.119260085,76884.119261552,76884.119292072,76884.120467287,76884.120469173,76884.12731939,76884.127326514,76884.127327911,76884.127392025,76884.127397333
48,76884.127939439,76884.128519678,76884.128837594,76884.128840039,76884.128873423,76884.130059183,76884.13006065,76884.136819655,76884.136828594,76884.136829502,76884.136901299,76884.136907096
49,76884.137426364,76884.138036914,76884.138370125,76884.1383725,76884.138405465,76884.139595626,76884.139597512,76884.146309862,76884.146316567,76884.146317964,76884.146379983,76884.146386757
50,76884.146886609,76884.147519369,76884.147846016,76884.14784846,76884.147883241,76884.149075637,76884.149077103,76884.155964965,76884.155972647,76884.155974114,76884.156038507,76884.156045212
51,76884.156562035,76884.157162738,76884.157488407,76884.157490712,76884.157523607,76884.158681641,76884.158683037,76884.165364169,76884.165371712,76884.165373109,76884.16544316,76884.165450004
52,76884.166117125,76884.166779917,76884.167213909,76884.167216214,76884.167249039,76884.168444647,76884.168447022,76884.175196458,76884.175205049,76884.175207004,76884.175276217,76884.175284179
53,76884.175830405,76884.176481882,76884.176825849,76884.176827735,76884.176861608,76884.178067623,76884.178069508,76884.185155788,76884.185163959,76884.185165356,76884.185234778,76884.185241413
54,76884.185753557,76884.186212273,76884.18676283,76884.186764785,76884.186799636,76884.188039244,76884.188040711,76884.194862293,76884.194871233,76884.19487263,76884.194976274,76884.194986401
55,76884.195492259,76884.196146739,76884.196540573,76884.196544414,76884.196587925,76884.197863781,76884.197864759,76884.204690112,76884.204696677,76884.204698563,76884.204762398,76884.204769103
56,76884.205330205,76884.205942851,76884.206287656,76884.206289472,76884.206322856,76884.207549893,76884.207551778,76884.214580369,76884.214588401,76884.214589798,76884.21466341,76884.214671023
57,76884.215205307,76884.215691261,76884.216265633,76884.216267519,76884.216301881,76884.217525495,76884.217527451,76884.224464969,76884.224471534,76884.224472931,76884.224538023,76884.224545077
58,76884.225117354,76884.225782799,76884.226183966,76884.226185852,76884.226221122,76884.227475606,76884.227477562,76884.234311785,76884.234319468,76884.234320864,76884.234386655,76884.234391893
