,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,backend
113,0.01272389833871032,0.8063843510187935,0.18089175064249619,1.0,0.0028250000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
114,0.013625801227303929,0.8007870101640995,0.18558718860859674,1.0000000000000002,0.00285,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
115,0.01457516969254918,0.7951440532004441,0.19028077710700664,1.0,0.002875,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
116,0.015573331021274941,0.7894584523200342,0.19496821665869063,0.9999999999999998,0.0029000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
117,0.016621580974781253,0.7837331837871636,0.1996452352380553,1.0000000000000002,0.002925,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
118,0.01772118011460179,0.7779712180475415,0.20430760183785654,0.9999999999999999,0.00295,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
119,0.018873350244556747,0.7721755087950871,0.20895114096035622,1.0,0.002975,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
120,0.020079270976969158,0.7663489818070819,0.21357174721594896,1.0,0.003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
121,0.021340076432189756,0.7604945244866934,0.21816539908111682,1.0,0.0030250000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
122,0.02265685208013994,0.7546149770844512,0.2227281708354089,1.0,0.00305,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
123,0.02403063173353836,0.7487131264287962,0.2272562418376653,0.9999999999999998,0.003075,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
124,0.02546239468525588,0.742791702874223,0.23174590244052123,1.0,0.0031000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
125,0.026953062972552375,0.7368533807883716,0.23619355623907617,1.0000000000000002,0.003125,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
126,0.028503498756333626,0.7309007822771236,0.24059571896654275,1.0,0.00315,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
127,0.0301145018221544,0.7249364831509439,0.24494901502690186,1.0000000000000002,0.0031750000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
128,0.031786807226344596,0.718963019638115,0.24925017313554035,1.0,0.0032,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
129,0.033521083111349326,0.7129828942470368,0.253496022641614,1.0,0.003225,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
130,0.03531792872563309,0.7069985792586397,0.2576834920157275,1.0000000000000004,0.0032500000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
131,0.037177872697462144,0.7010125166878834,0.26180961061465435,1.0,0.003275,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
132,0.03910137164280447,0.6950271140229183,0.265871514334277,0.9999999999999998,0.0033,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
133,0.041088809180801475,0.6890447359621459,0.26986645485705274,1.0,0.0033250000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
134,0.04314049541693063,0.6830676932404938,0.27379181134257563,1.0,0.00335,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
135,0.0452566669201207,0.6770982303919222,0.27764510268795706,1.0,0.003375,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
136,0.047437487214783074,0.6711385144236055,0.2814239983616116,1.0000000000000002,0.0034000000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
137,0.04968304777010474,0.665190626292874,0.28512632593702125,1.0,0.003425,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
138,0.05199336941374421,0.6592565566305686,0.2887500739556872,1.0,0.0034500000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
139,0.05436840401554437,0.653338206509641,0.2922933894748143,0.9999999999999998,0.0034750000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
140,0.056808036239818074,0.6474373930154889,0.2957545707446931,1.0,0.0035,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
141,0.05931208514737027,0.6415558582948119,0.299132056557818,1.0,0.0035250000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
142,0.06188030542816909,0.6356952800168396,0.3024244145549912,0.9999999999999999,0.00355,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
